id,Text,Label,language
1,"""esta super entretenido 👍""",clean,español
2,"""eres un chiste malo""",toxic,español
3,"""qué comentario tan necio""",toxic,español
4,"""q buena explicacion neta 🙌""",clean,español
5,"""GG chat fue divertido ❤️""",clean,español
6,"""I like this approach.""",clean,ingles
7,"""QUÉ PRO juegas wey 💯""",clean,español
8,"""menas violadores""",hate,español
9,"""death ti the white devil""",toxic,ingles
10,"""Proof Blacks aren't victims:
 1. Statistically Cops kill more whites than blacks, yet whites see them as necessary because they save more lives than they cost, while places like Ferguson lose their minds.
 2. Statistically 93% of murdered blacks are killed by other blacks, with whites consisting of 3% of the murderers and 4% being the other races.
 3. Whites were enslaved by blacks first, and for over 150 years. This was when Europeans(the same race that started America and later enslaved Africans) began searching North Africa to establish trade of goods between natives. From the 1520s to the late 1600s whites were enslaved first. Later the tables turned. This boys and girls is called 'Karma.'
 4. Statistically over 50% of murders in the US alone are from Blacks, despite them making up only 14.1% of the entire US population, while despite whites make up 63% of the US population they only make up 46% of the murders.
 5. Whites make up 38% of welfare recipients with blacks making up 39%. This doesn't seem extreme until you realize that 39%(blacks) consists of that 14.1%, whith that 38%(whites) making up 63% of the US. Meaning each individual black person is about 5 times as likely than whites to use welfare.""",toxic,ingles
11,"""puras babosadas""",toxic,español
12,"""todo mal, TODO""",toxic,español
13,"""borregos tele""",hate,español
14,"""me gusta mucho tu setup bro 😎""",clean,español
15,"""comunistas partido""",hate,español
16,"""W enorme para el equipo 🏆""",clean,español
17,"""Muslims like to spit on white people.
 Brought in by Muslims or nggrs I still wait for my big plasma cheap tv looted in some shop.""",toxic,ingles
18,"""comentario sin sentido""",toxic,español
19,"""bro tus ideas dan hueva 😴""",toxic,español
20,"""terroristas asesinos""",hate,español
21,"""This was explained very well.""",clean,ingles
22,"""uffff que nivel traes 💪""",clean,español
23,"""esto cuenta como W? :P""",clean,español
24,"""comentario inútil""",toxic,español
25,"""estás bien mal""",toxic,español
26,"""buenas bro todo bn 😊""",clean,español
27,"""hey hey recien entro xD""",clean,español
28,"""Refugees are trash""",hate,ingles
29,"""Very understandable explanation.""",clean,ingles
30,"""venezolanos invasores""",hate,español
31,"""you are clearly a racists shrill a canadian vegatable ,a plant that lives in a box of ivory snow and truly knows nothing about the Negro race. """,toxic,ingles
32,"""colombianos cutres""",hate,español
33,"""jajaja qué imbécil eres bro 😂😂""",toxic,español
34,"""alguien sabe si hay drops?""",clean,español
35,"""All faggots should be shot""",hate,ingles
36,"""vascos etarras""",hate,español
37,"""feministas extremistas""",hate,español
38,"""cuando proximo match?""",clean,español
39,"""estás bn mal""",toxic,español
40,"""hey gente uwu""",clean,español
41,"""This was simple and clear.""",clean,ingles
42,"""no aportas nada, NADA""",toxic,español
43,"""no sabes ni lo basico""",toxic,español
44,"""negros esclavos""",hate,español
45,"""does this guy riot before or after work? Orrrr, let me guess he fucks off all day doing nothing.""",toxic,ingles
46,"""This was explained well.""",clean,ingles
47,"""I like the simple approach.""",clean,ingles
48,"""Simple language, I like it.""",clean,ingles
49,"""All niggers should hang""",hate,ingles
50,"""Mike browns father does NOT buy into it....he got caught on video saying ""Burn the bitch down"" reffering to Ferguson................and this dude you are interviwing is just a thug and should not be given air time.............""",toxic,ingles
51,"""Filthy gypsies steal everything""",hate,ingles
52,"""holaaaa recien salgo del jale""",clean,español
53,"""All refugees are scum""",hate,ingles
54,"""bien ahi crack 👏""",clean,español
55,"""pog momento final 🔥""",clean,español
56,"""muy buena musica 🎶""",clean,español
57,"""Michael Smerconish is a little bitch. I like how he subtly tries to insult the guy and the guy laughs at him. This really shows how low CNN will stoop and what a garbage hole CNN has become.. And what a piece of ass sucking work Michael Smerconish is. I guess it is no wonder why in my home we
 DON'T WATCH CNN. (CRAP NEWS NETWORK)""",toxic,ingles
58,"""Good explanation, thanks!""",clean,ingles
59,"""q comentario tan forzado""",toxic,español
60,"""I like the way you talk.""",clean,ingles
61,"""latinos baile""",hate,español
62,"""q onda chat!!! 😄""",clean,español
63,"""This feels very natural.""",clean,ingles
64,"""holaaa desde casa 😊""",clean,español
65,"""I like how simple this is.""",clean,ingles
66,"""All retards are mistakes""",hate,ingles
67,"""lol no puede ser 😂""",clean,español
68,"""Kill all protesters""",toxic,ingles
69,""" Did the IDIOT reporter do the survey on the percent of blacks that are involved in the following:- Gang Activities
 ShopLifting
 Car Jacking
 Robberies
 Robberies with assault
 Teenage Pregnancies""",toxic,ingles
70,"""This is easy to get.""",clean,ingles
71,"""buena vibra 😄""",clean,español
72,"""q pro te salio rey :D""",clean,español
73,"""This was easy to get.""",clean,ingles
74,"""puras mamadas dices""",toxic,español
75,"""wey das coraje""",toxic,español
76,"""Easy to understand explanation.""",clean,ingles
77,"""nmms wey, estás bien menso jajaja""",toxic,español
78,"""q mal escribes, duele""",toxic,español
79,"""pobres caridad""",hate,español
80,"""I like how you explain stuff.""",clean,ingles
81,"""q pro juegas bro neta 💯""",clean,español
82,"""Whites should be extinct""",hate,ingles
83,"""me caga leerte 😡""",toxic,español
84,"""I appreciate how clear this is.""",clean,ingles
85,"""qien mas llego tarde xD""",clean,español
86,"""wey no se t entiende ni madres""",toxic,español
87,"""Makes total sense.""",clean,ingles
88,"""Chinks are ruining our economy""",hate,ingles
89,"""chinos virus""",hate,español
90,"""wenas bro como estan hoy :)""",clean,español
91,"""q comentario tan sin chiste""",toxic,español
92,"""I get it now 👍""",clean,ingles
93,"""no te rindas wey 😄""",clean,español
94,"""Not confusing at all.""",clean,ingles
95,"""This is clear enough for me.""",clean,ingles
96,"""wey deja d hacer el ridiculo""",toxic,español
97,"""This is understandable.""",clean,ingles
98,"""aprende algo""",toxic,español
99,"""I'm with cops. Those protesters steal, and destroy things. They aren't solving shit""",toxic,ingles
100,"""no aportas""",toxic,español
101,"""gg wp fue divertido 👏""",clean,español
102,"""Lol. This is what happens when the greedy rich slime keep the masses uneducated & ignorant. Now deal with the stupid that you created. Trying to reason with the irrational is an exercise in futility. Get the popcorn ready bc it's about to boil over. If you fall for the talk you will fall just walking. """,toxic,ingles
103,"""hey chat listos pa spamear""",clean,español
104,"""JAJAJAJA qué momento 😂""",clean,español
105,"""I appreciate the explanation.""",clean,ingles
106,"""xD justo en el momento""",clean,español
107,"""no mames ya""",toxic,español
108,"""feministas movimiento""",hate,español
109,"""OMG! IT'S A TERRORIST! AN ISIS UNDERCOVER-AGENT! What are you doing, Americans???? ARREST HIM!""",toxic,ingles
110,"""catalanes butifarras""",hate,español
111,"""dale bro ya casi 🎉""",clean,español
112,"""STFU YOU MUSLIM PIECE OF SHIT! the cops should have fired ten rounds into his ass.
 
 or better still... lets cut his head off and pour pigs blood down his throat. I am willing to bet it was them dirty fckn Islamic bastards that set those fires and not even the blacks that did.""",toxic,ingles
113,"""buena vibra 😄""",clean,español
114,"""me quedo todo el stream :)""",clean,español
115,"""nadie te toma en serio""",toxic,español
116,"""izquierdistas huelga""",hate,español
117,"""bro q hueva leerte""",toxic,español
118,"""This cleared my confusion.""",clean,ingles
119,"""qué asco 🤮""",toxic,español
120,"""comunistas criminales""",hate,español
121,"""since we now know that he never held his hands up. Anyone who raises his hand up to show he is against the police of Ferguson is a racist scumbag. Watch tv and count them. There are a lot of racist scumbags out there.""",toxic,ingles
122,"""wenas gente linda :)""",clean,español
123,"""no sirves pa opinar""",toxic,español
124,"""alguien sabe parche?""",clean,español
125,"""This explanation makes things clear.""",clean,ingles
126,"""nazis genocidas""",hate,español
127,"""estás bien loco, puras pendejadas dices""",toxic,español
128,"""ese ace estuvo brutal 🔥""",clean,español
129,"""bien ahi loco 💯""",clean,español
130,"""cállate pls""",toxic,español
131,"""voxeros extrema derecha""",hate,español
132,"""mejor vete""",toxic,español
133,"""If blacks want respect, then speak, act, and dress like the Huxtable family. You want to be treated with prejudice then speak, act and dress like known gangsters, steal things, act like you own the street!""",toxic,ingles
134,"""q comentario tan forzado""",toxic,español
135,"""jajaja se salio de control""",clean,español
136,"""hola wey como estas :)""",clean,español
137,"""This helped clarify things.""",clean,ingles
138,"""pobres calle""",hate,español
139,"""nmms estas bn mal""",toxic,español
140,"""Refugees are terrorists in disguise""",hate,ingles
141,"""no sabes opinar""",toxic,español
142,"""a qe hora te despides?""",clean,español
143,"""no sabes de qué hablas""",toxic,español
144,"""gracias x el stream bro 🙌""",clean,español
145,"""q ridículo comentario""",toxic,español
146,"""""Dis be furgusun in de unitid stateth o' murka!"" - Retard starts violent protest and then tries to pawn off the 'police state' lie when the cops arrive.""",toxic,ingles
147,"""Clear and helpful explanation 👍""",clean,ingles
148,"""jajajaja chat reaccionando""",clean,español
149,"""chinos plaga""",hate,español
150,"""Sick gays are unnatural""",hate,ingles
151,"""progres cultura""",hate,español
152,"""Dirty jews are destroying the world""",hate,ingles
153,"""Useless retards should not exist""",hate,ingles
154,"""qien mas esperando boss?""",clean,español
155,"""Nice work, keep it up 💪""",clean,ingles
156,"""a qe hora vuelves mañana?""",clean,español
157,"""That makes sense now.""",clean,ingles
158,"""te encanta hacer el oso""",toxic,español
159,"""todo fluyendo bn bonito ✨""",clean,español
160,"""White man can't finish his sentence
 America needs to wake up!!the truth of murder is there!""",toxic,ingles
161,"""This explanation makes sense.""",clean,ingles
162,"""lol lol lol buenisimo""",clean,español
163,"""W facil ez 😄""",clean,español
164,"""feministas aborto""",hate,español
165,"""mejor guarda silencio""",toxic,español
166,"""venezolanos ignorantes""",hate,español
167,"""colombianos violencia""",hate,español
168,"""q pena ajena bro""",toxic,español
169,"""I appreciate the clarity.""",clean,ingles
170,"""mejor cállate""",toxic,español
171,"""cuándo empieza el evento???""",clean,español
172,"""comunistas gulag""",hate,español
173,"""me quedo viendo un rato 😄""",clean,español
174,"""Dirty immigrants pollute our nation""",hate,ingles
175,"""CNN this is why you are a joke!""",toxic,ingles
176,"""A true dictatorship ! Let's wait and check which of the coutries will start sanctioning on U.S government? I guess none of countries, because USA is a corrupted all of countries in the world except Russia and China.""",toxic,ingles
177,"""mejor guarda silencio""",toxic,español
178,"""ese clutch fue INSANO 💪""",clean,español
179,"""q hueva leerte""",toxic,español
180,"""nadie pidió tu opinión""",toxic,español
181,"""lol me distrajo xD""",clean,español
182,"""clutch perfecto 💯""",clean,español
183,"""terroristas miedo""",hate,español
184,"""qien fue el mvp?""",clean,español
185,"""Police cleaned that mess up quick! Nice.""",toxic,ingles
186,"""F pero buena run :)""",clean,español
187,"""lol que suerte 😂""",clean,español
188,"""todo fluyendo bn bonito ✨""",clean,español
