Id,Texto,Label,Lenguaje
1,"""Clear and easy to follow.""",clean,ingles
2,"""Sarnosos cholos nos roban el aire""",hate,español
3,"""I had the same thought.""",clean,ingles
4,"""poggers esa play""",clean,español
5,"""¿Por qué eres tan asqueroso? Das pena. 💩""",toxic,español
6,"""Me cagan los trans babosos""",hate,español
7,"""voxeros nazis""",hate,español
8,"""otra idiotez como toda tu vida""",toxic,español
9,"""poggers play dude""",clean,ingles
10,"""Eres tan miserable que das pena.""",toxic,español
11,"""q ridiculo te ves diciendo eso 🤡""",toxic,español
12,"""chat tan bonito como siempre ❤️""",clean,español
13,"""nerf urgente jajaja""",clean,español
14,"""Pinches frijoleros que se mueran alv al chile""",hate,español
15,"""Qué broma más tóxico. Solo eres un perdedor.""",toxic,español
16,"""muy crack 💯""",clean,español
17,"""musulmanes yihadistas""",hate,español
18,"""this is my comfort stream""",clean,ingles
19,"""Piérdete, desperdicío humano.""",toxic,español
20,"""Deja de publicar tus opiniones patético. A nadie le importa. 👎""",toxic,español
21,"""buenas noches gente linda""",clean,español
22,"""recien llego qe paso? :o""",clean,español
23,"""XD momento irrepetible""",clean,español
24,"""qué vergüenza""",toxic,español
25,"""All jigaboos are destroying the world""",hate,ingles
26,"""Without that badge they a bitch and a half. So fuck the police!!""",toxic,ingles
27,"""Eres un completo idiota. ¿Por qué sigues existiendo?""",toxic,español
28,"""Pinches lenchas regresen a su cerro hijos de la chingada""",hate,español
29,"""siiii esa es la actitud""",clean,español
30,"""Todos los lenchas son unos pinches wey👭🖕""",hate,español
31,"""Primitive coons eat dirt""",hate,ingles
32,"""Primitive kikes should die of AIDS""",hate,ingles
33,"""q buena explicacion neta 🙌""",clean,español
34,"""I hope to god you guys is still not falling for the same ol banana in the tailpipe bullshit news that they're giving you""",toxic,ingles
35,"""sigue asi maestro""",clean,español
36,"""mañana a que hora comienza?""",clean,español
37,"""comentario comunista""",toxic,español
38,"""VAMOSSS tu puedes rey""",clean,español
39,"""siiii lo logramos""",clean,español
40,"""Me cagan los judíos sarnosos""",hate,español
41,"""JAJAJAJA super gracioso""",clean,español
42,"""cuando regresamos al stream?""",clean,español
43,"""thats the spirit""",clean,ingles
44,"""ese clutch salio perfecto 💯""",clean,español
45,"""pobres parásitos""",hate,español
46,"""Todos los oaxacos son unos jodidos wey""",hate,español
47,"""This is the most dumb thing I've ever seen. You should go cry about it. 🤬""",toxic,ingles
48,"""alguien sabe qien sigue??""",clean,español
49,"""Eres tan estúpido que sorprende que puedas respirar.""",toxic,español
50,"""Putos feminazis regresen a su cerro""",hate,español
51,"""Go back to the kitchen""",hate,ingles
52,"""comentario cringe""",toxic,español
53,"""kekw momento legendario""",clean,español
54,"""This is the most worthless thing I've ever seen. You should go cry about it.""",toxic,ingles
55,"""hola desde Argentina""",clean,español
56,"""Mike browns father does NOT buy into it....he got caught on video saying ""Burn the bitch down"" reffering to Ferguson................and this dude you are interviwing is just a thug and should not be given air time.............""",toxic,ingles
57,"""Todos los prietos son unos culeros al chile""",hate,español
58,"""vamosss ultima ronda 🎯""",clean,español
59,"""Esta es la cosa más asqueroso que he visto. Deberías dejes de hablar.""",toxic,español
60,"""venezolanos invasores""",hate,español
61,"""cuando sale el boss final?""",clean,español
62,"""lol lol lol buenisimo""",clean,español
63,"""gameplay bn chido 👍""",clean,español
