id,Text,Label,language
1,"""bro tus ideas dan hueva 😴""",toxic,español
2,"""aprende a pensar""",toxic,español
3,"""Perverted faggots stay away from children""",hate,ingles
4,"""mejor guarda silencio""",toxic,español
5,"""cuando es el proximo match?""",clean,español
6,"""jajaja qué imbécil eres bro 😂😂""",toxic,español
7,"""izquierdistas antisistema""",hate,español
8,"""Good explanation, simple.""",clean,ingles
9,"""bro ya nadie t lee""",toxic,español
10,"""jajajaja timing perfecto""",clean,español
11,"""Easy to follow along.""",clean,ingles
12,"""Masri is unemployed""",toxic,ingles
13,"""derechistas casposos""",hate,español
14,"""This is not your counties go back to he middle east that's your counties b""",toxic,ingles
15,"""This is well structured.""",clean,ingles
16,"""I think ,he kill him""",toxic,ingles
17,"""cuando sale el boss??""",clean,español
18,"""qué pendejada""",toxic,español
19,"""I like how simple it is.""",clean,ingles
20,"""This feels very natural.""",clean,ingles
21,"""q osooo, borra eso pls 🫠""",toxic,español
22,"""das pena ajena""",toxic,español
23,"""alguien sabe si hay drops?""",clean,español
24,"""ni para eso sirves""",toxic,español
25,"""q ganas d llamar la atencion""",toxic,español
26,"""I'm with this dude fuck the punk police """,toxic,ingles
27,"""That Arab is rapping 3:14
 Go ahead bro....LOL
 So getto he is""",toxic,ingles
28,"""a qe hora termina bro?""",clean,español
29,"""estás mal bro""",toxic,español
30,"""Funny to thing the government can be trusted to judge itself. Fucking disgusting. """,toxic,ingles
31,"""lol me distrajo xD""",clean,español
32,"""VAMOS CHAT APOYANDO 🎉""",clean,español
33,"""XD lo salvo""",clean,español
34,"""neta quien t toma en serio""",toxic,español
35,"""crack absoluto bro 🙌""",clean,español
36,"""XD momento random total""",clean,español
37,"""qué pendejo""",toxic,español
38,"""Good explanation, thanks!""",clean,ingles
39,"""feministas movimiento""",hate,español
40,"""rusos espías""",hate,español
41,"""Illegal wetbacks get out""",hate,ingles
42,"""menas subvencionados""",hate,español
43,"""estás bien mal de la cabeza""",toxic,español
44,"""W facil 😄""",clean,español
45,"""no aportas nada""",toxic,español
46,"""Not confusing at all, nice.""",clean,ingles
47,"""dale sin miedo 💪""",clean,español
48,"""Retards are a waste of resources""",hate,ingles
49,"""qien mas ya dejo su like?""",clean,español
50,"""rojos bandera""",hate,español
51,"""estás bn estúpido""",toxic,español
52,"""eres un chiste malo""",toxic,español
